name_author,id_author,date_publication,id_comment,text_comment,answer_to,likes,vote,id_article
Макс Иванов,101412,2020-07-31 05:10:03,11149650,😂😂Ага   всю контробанду делают в Одессе или у нас в заре востока   ,11149645,2,2,5034310
Николай Репников,150105,2020-07-31 05:08:04,11149646,"Сертификаты налево и направо раздаются, при том, что на каждом из нас от 90 % одежды и обуви из поднебесной; вот где антикор должен работать во благо народа и государства, не допуская липовых сделок! Дети грызут игрушки, а потом желудочные и аллергенные заболевания и никто сразу не может понять - откуда взялось.......",,3,3,5034310
Mike Mike,114314,2020-07-31 05:08:04,11149647,"Куда смотрят/не смотрят органы санитарного,медицинского контроля или в доле...?",,2,2,5034310
Власть бедным!,170075,2020-07-31 05:08:48,11149648,В доле,11149647,2,2,5034310
Takke,22396,2020-07-31 05:51:04,11149699,"""Министерство торговли и интеграции сейчас выясняет, как опасный товар мог попасть на прилавки казахстанских магазинов"" - а прокуратура свою миссию закончила?",,0,0,5034310
Макс Иванов,101412,2020-07-31 05:53:11,11149702,Они уже свое к празднику получили )),11149699,1,1,5034310
Александр Елизаров,170436,2020-07-31 08:40:53,11149798,made in China ))),,0,0,5034310
Шынгыс,161492,2020-07-31 04:44:24,11149613,Ал мереке құтты болғай,,0,0,5034308
Сапархан,151837,2020-07-31 04:45:09,11149619,Құрбан Айт барлығымызға береке алып келгей,,0,0,5034308
Абай,151532,2020-07-31 04:46:10,11149620,Осынау қиын қыстау кезеңде Айт болып көңіліміз бір марқайыр қалдау,,0,0,5034308
Турсын,161488,2020-07-31 04:47:01,11149622,Барлығыңызға тек жақсылықтар тілеймін!,,0,0,5034308
Мади,161371,2020-07-31 04:47:47,11149623,"Құрбан айт береке,бірлік әкелсін",,0,0,5034308
Бектурсын,161496,2020-07-31 04:48:45,11149624,Отбасыларыңызға амандық тілеймін,,0,0,5034308
Сейт,161385,2020-07-31 04:49:28,11149626,Ой рахмет айналайын,,0,0,5034308
Алишер,151844,2020-07-31 04:49:59,11149628,"Мереке құт, береке әкелгей",,0,0,5034308
Ахмет,161495,2020-07-31 04:51:05,11149630,"Аман болайық,Тілеріміз елдің амандығы болғай",,0,0,5034308
Тимур,151528,2020-07-31 04:51:44,11149632,"Барша жандарға деннің саулығын,отбасы амандығын тілеймін!",,0,0,5034308
Кайсар,161482,2020-07-31 07:49:26,11149770,Құрбан Айт елімізге құт береке алып келсін!,,0,0,5034307
Ербол,161389,2020-07-31 07:49:59,11149771,Отбасыларыңызға амандық тілеймін,,0,0,5034307
Amanzol Tursunbai,136710,2020-07-31 07:50:47,11149772,Қазақ елі аман болсын!,,0,0,5034307
Sanzhar Erkinov,136707,2020-07-31 07:51:38,11149773,Барша мұсылмандарды Айт мерекесімен құттықтаймын,,0,0,5034307
Хабиб,161491,2020-07-31 07:52:33,11149774,Қой сойып құрбандық шалуды ұмытпаңыздар,,0,0,5034307
Секе,15821,2020-07-31 03:00:25,11149534,"Если умер то от пневмонии, если вылечился то от КВИ.",,5,5,5034306
Петрович,157496,2020-07-31 03:28:18,11149545,А что в Алматы не выздоравливают???,,4,4,5034306
Oksana,157795,2020-07-31 03:59:41,11149556,Нет ещё. Пиказа не было.,11149545,5,5,5034306
Dastin,167759,2020-07-31 05:37:53,11149688,"Выздоравливают, но они не знают об этом.",11149545,2,2,5034306
большой брат,104049,2020-07-31 05:52:38,11149701,"Понимаю, что статистика не точна в силу многих обстоятельств, но радует, что наконец-то, тем более в этот священный день для многих казахстанцев, количество выздоровевших 1702 превысило количество заразившихся 1414.",,1,1,5034306
Алматинец,156737,2020-07-31 04:05:38,11149563,Там один текст ему и совету безопасности пологаю один человек пишет?,,3,3,5034305
Aigul Aigul,118452,2020-07-31 04:22:26,11149579,Әумин,,0,0,5034305
Дастан,161476,2020-07-31 04:34:13,11149587,Құрбан Айт мерекесіменсіздерді шын жүректен құттықтаймын,,0,2,5034305
Алмат,151851,2020-07-31 04:35:07,11149588,Құтты болсын,,0,2,5034305
Ержан,161478,2020-07-31 04:36:06,11149589,Рахмет Таке),,1,1,5034305
Галымжан,161497,2020-07-31 04:36:46,11149590,Бірге болсын!,,0,2,5034305
